diabetes_prevalence,MEDHHINC_2018,PCTPOVALL_2018,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Active Physicians per 100000 Population 2018 (AAMC)
12.9,59338,13.8,27.7,3.6,217.1
12.0,57588,9.8,31.3,3.6,217.1
19.7,34382,30.9,12.2,5.2,217.1
14.1,46064,21.8,11.5,4.0,217.1
13.5,50412,13.2,12.6,3.5,217.1
20.6,29267,42.5,13.3,4.7,217.1
18.6,37365,24.5,16.1,4.8,217.1
14.7,45400,19.5,18.0,4.7,217.1
17.5,39917,18.7,13.2,3.9,217.1
15.9,42132,16.3,12.9,3.6,217.1
15.2,47547,17.3,14.2,3.6,217.1
19.2,39907,22.1,13.0,5.5,217.1
19.1,40741,22.8,12.6,7.5,217.1
16.4,39201,17.6,10.2,3.9,217.1
14.4,46495,16.0,13.7,4.2,217.1
14.1,55122,13.8,23.4,3.9,217.1
14.8,49055,13.8,18.7,4.6,217.1
20.5,32613,24.4,10.7,5.2,217.1
18.6,42423,18.9,11.6,4.2,217.1
15.8,40203,19.9,14.9,4.6,217.1
16.4,39057,19.5,15.6,4.1,217.1
13.7,45796,14.5,13.7,3.3,217.1
14.4,45309,16.2,17.0,4.2,217.1
21.1,34035,31.4,15.1,6.5,217.1
15.6,39491,21.3,12.7,3.8,217.1
12.7,60367,11.2,24.5,3.4,217.1
17.3,38418,23.6,12.7,4.6,217.1
15.2,44903,17.5,17.7,4.1,217.1
15.5,39254,23.5,12.9,4.1,217.1
14.8,39388,19.2,12.9,3.7,217.1
16.7,37823,21.3,11.1,3.9,217.1
25.6,28524,30.1,10.1,6.7,217.1
20.0,34724,25.6,14.1,5.1,217.1
16.6,46027,17.9,18.0,4.4,217.1
16.1,47993,16.5,21.0,4.0,217.1
15.4,41929,19.7,14.2,4.1,217.1
13.5,55013,16.1,32.4,3.7,217.1
16.8,40936,17.4,12.5,3.8,217.1
13.2,48707,14.0,23.9,4.2,217.1
15.3,43909,19.3,11.7,4.2,217.1
11.2,48937,19.0,34.1,3.6,217.1
13.1,64863,11.4,25.5,3.5,217.1
22.3,33973,25.1,14.1,7.3,217.1
19.8,32495,30.2,20.7,5.5,217.1
